    lat    lon     lam1     lam2     lam3    V1_Up     V1_E     V1_N    V2_Up     V2_E     V2_N    V3_Up     V3_E     V3_N
  -15.0  130.0   2.1816  0.87829  0.51751 -0.02030  0.79447  0.60696 -0.08260 -0.60634  0.79090  0.99638 -0.03408  0.07794
  -15.0  135.0   2.4411  0.85418  0.47577  0.03248  0.77208  0.63469 -0.02942 -0.63402  0.77276  0.99904 -0.04378  0.00212
  -15.0  140.0   2.3858  0.82613  0.50320  0.08638  0.73148  0.67637 -0.20712 -0.65089  0.73038  0.97450 -0.20318  0.09528
  -15.0  145.0   2.6633  0.84930  0.43830 -0.04501  0.65705  0.75250 -0.12701 -0.75091  0.64807  0.99088 -0.06640  0.11725
  -15.0   15.0   5.7947  0.59779  0.28642 -0.15372 -0.93619  0.31611  0.31332  0.25723  0.91415 -0.93712  0.23956  0.25379
  -15.0  150.0   2.7437  0.86160  0.41972 -0.03394  0.57710  0.81597  0.19652  0.80436 -0.56071 -0.97991  0.14133 -0.14071
  -15.0  155.0   2.7571  0.88271  0.40753 -0.05254  0.47128  0.88042 -0.19066 -0.87015  0.45440  0.98025 -0.14399  0.13557
  -15.0  160.0   2.3651  0.94041  0.44618 -0.09280  0.36205  0.92753 -0.13246 -0.92776  0.34889  0.98683 -0.09049  0.13405
  -15.0  165.0   2.4771  0.98861  0.40544  0.09829 -0.26622 -0.95889  0.10630  0.96085 -0.25587  0.98946 -0.07677  0.12274
  -15.0  170.0   2.2255  1.05370  0.42333 -0.14998  0.23928  0.95930  0.04376 -0.96771  0.24822  0.98772  0.07920  0.13466
  -15.0  175.0   1.8727  1.19178  0.44436  0.17985 -0.25711 -0.94950  0.03172 -0.96322  0.26684  0.98318  0.07811  0.16508
  -15.0  180.0   1.7549  1.27187  0.44424  0.16985 -0.31648 -0.93327  0.02064 -0.94568  0.32445  0.98525  0.07437  0.15410
  -15.0   20.0   292.46  0.15588  0.02131  0.94110  0.25602 -0.22087  0.32334 -0.49033  0.80934 -0.09890  0.83309  0.54423
  -15.0   25.0   2.5213  0.79165  0.49867 -0.39129  0.58363  0.71153  0.54682 -0.47443  0.68986 -0.74019 -0.65901  0.13350
  -15.0   30.0   2.1121  1.11287  0.42256 -0.02849 -0.85352 -0.52029  0.01964 -0.52088  0.85341 -0.99940  0.01410  0.03161
  -15.0   35.0   2.3305  1.16111  0.36667 -0.11816 -0.87393 -0.47148  0.02228 -0.47702  0.87861 -0.99274  0.09331  0.07584
  -15.0   40.0   2.1803  1.18595  0.38417 -0.15050 -0.82712 -0.54150  0.04593 -0.55299  0.83192 -0.98754  0.10033  0.12122
  -15.0   45.0   2.0124  1.17863  0.41868  0.18026  0.78059  0.59848 -0.04273  0.61409 -0.78808 -0.98269  0.11649  0.14405
  -15.0    5.0   5.1785  0.94313  0.20332  0.00801  0.99605 -0.08846 -0.17921  0.08846  0.97983  0.98378  0.00801  0.17921
  -15.0   50.0   1.9783  1.16498  0.43079  0.17308  0.72218  0.66971 -0.03516  0.68407 -0.72857 -0.98428  0.10256  0.14379
  -15.0   55.0   1.9107  1.12992  0.45992  0.17922  0.65348  0.73542 -0.02293  0.75009 -0.66093 -0.98354  0.10159  0.14941
  -15.0   60.0   1.9037  1.09915  0.47460  0.19065  0.56196  0.80489  0.01114  0.81864 -0.57420 -0.98159  0.11844  0.14982
  -15.0   65.0   1.9447  1.05101  0.48566  0.18365  0.46649  0.86525  0.03604  0.87644 -0.48017 -0.98233  0.11937  0.14414
  -15.0   70.0   1.9612  1.03142  0.49075  0.16769  0.40077  0.90070  0.02402  0.91171 -0.41014 -0.98555  0.09041  0.14326
  -15.0   75.0   1.8094  1.04365  0.52562  0.18239  0.33405  0.92474 -0.02026  0.94159 -0.33614 -0.98302  0.04257  0.17851
  -15.0   80.0   1.8125  1.08166  0.50620  0.19840  0.24775  0.94829  0.07648  0.96066 -0.26698 -0.97713  0.12550  0.17164
  -15.0   85.0   1.8114  1.08797  0.50382  0.19902  0.11520  0.97320  0.10406  0.98497 -0.13787 -0.97445  0.12871  0.18405
  -15.0   90.0   1.8061  1.09588  0.50208  0.20704 -0.03184  0.97781  0.12025  0.99272  0.00686 -0.97091  0.11616  0.20936
  -15.0   95.0   1.9225  1.01140  0.51082  0.17607 -0.14508  0.97363 -0.13278 -0.98354 -0.12254 -0.97538  0.10770  0.19243
  -20.0  -10.0   2.7284  1.27520  0.28551  0.12970 -0.96155 -0.24209 -0.12214 -0.25778  0.95845 -0.98400 -0.09475 -0.15088
  -20.0 -100.0   6.1699  0.73767  0.21825  0.38630 -0.91531 -0.11395  0.91733  0.39415 -0.05616  0.09632 -0.08284  0.99190
  -20.0 -105.0   17.738  0.58904  0.09491  0.64392 -0.76024 -0.08606  0.76105  0.64800 -0.02993  0.07852 -0.04622  0.99584
  -20.0 -110.0    74610  0.02528  0.00044 -0.99538 -0.07100  0.06463 -0.07626  0.17573 -0.98148 -0.05833  0.98188  0.18033
  -20.0 -115.0   53.864  0.37462  0.04934  0.65752  0.75310 -0.02232  0.74395 -0.64427  0.17737 -0.11919  0.13323  0.98389
  -20.0 -120.0   352.47  0.66618  0.00424 -0.37383 -0.92464  0.07273  0.92683 -0.36943  0.06713 -0.03520  0.09250  0.99509
  -20.0 -125.0   10.948  0.60081  0.15090 -0.22751 -0.96492  0.13106 -0.97050  0.21366 -0.11166 -0.07974  0.15259  0.98507
  -20.0 -130.0   4.6181  0.60698  0.35371  0.14695  0.96094 -0.23452  0.92588 -0.21706 -0.30924  0.34806  0.17170  0.92161
  -20.0 -135.0   3.3569  0.67943  0.43537 -0.04212 -0.94773  0.31629 -0.41155  0.30492  0.85887  0.91042  0.09399  0.40288
  -20.0 -140.0    2.877  0.94172  0.36627 -0.01148 -0.92948  0.36870 -0.25400  0.35934  0.89797  0.96714  0.08334  0.24021
  -20.0 -145.0   2.5905  1.19234  0.32156 -0.02244  0.91423 -0.40457 -0.23261  0.38879  0.89148  0.97231  0.11412  0.20394
